"step","funnel_step","platform","age_range","year_month","funnel_count","total_count_for_stage"
"3","Ride Requests","android","18-24","2021-01","140","385477"
"3","Ride Requests","android","18-24","2021-02","416","385477"
"3","Ride Requests","android","18-24","2021-03","487","385477"
"3","Ride Requests","android","18-24","2021-04","500","385477"
"3","Ride Requests","android","18-24","2021-05","689","385477"
"3","Ride Requests","android","18-24","2021-06","719","385477"
"3","Ride Requests","android","18-24","2021-07","989","385477"
"3","Ride Requests","android","18-24","2021-08","1055","385477"
"3","Ride Requests","android","18-24","2021-09","1063","385477"
"3","Ride Requests","android","18-24","2021-10","1340","385477"
"3","Ride Requests","android","18-24","2021-11","1331","385477"
"3","Ride Requests","android","18-24","2021-12","1443","385477"
"3","Ride Requests","android","18-24","2022-01","1208","385477"
"3","Ride Requests","android","18-24","2022-02","463","385477"
"3","Ride Requests","android","18-24","2022-03","72","385477"
"3","Ride Requests","android","25-34","2021-01","167","385477"
"3","Ride Requests","android","25-34","2021-02","564","385477"
"3","Ride Requests","android","25-34","2021-03","879","385477"
"3","Ride Requests","android","25-34","2021-04","984","385477"
"3","Ride Requests","android","25-34","2021-05","1224","385477"
"3","Ride Requests","android","25-34","2021-06","1488","385477"
"3","Ride Requests","android","25-34","2021-07","1675","385477"
"3","Ride Requests","android","25-34","2021-08","1897","385477"
"3","Ride Requests","android","25-34","2021-09","2076","385477"
"3","Ride Requests","android","25-34","2021-10","2286","385477"
"3","Ride Requests","android","25-34","2021-11","2322","385477"
"3","Ride Requests","android","25-34","2021-12","2796","385477"
"3","Ride Requests","android","25-34","2022-01","2228","385477"
"3","Ride Requests","android","25-34","2022-02","817","385477"
"3","Ride Requests","android","25-34","2022-03","153","385477"
"3","Ride Requests","android","35-44","2021-01","378","385477"
"3","Ride Requests","android","35-44","2021-02","941","385477"
"3","Ride Requests","android","35-44","2021-03","1514","385477"
"3","Ride Requests","android","35-44","2021-04","1702","385477"
"3","Ride Requests","android","35-44","2021-05","2004","385477"
"3","Ride Requests","android","35-44","2021-06","2072","385477"
"3","Ride Requests","android","35-44","2021-07","2450","385477"
"3","Ride Requests","android","35-44","2021-08","2719","385477"
"3","Ride Requests","android","35-44","2021-09","3115","385477"
"3","Ride Requests","android","35-44","2021-10","3630","385477"
"3","Ride Requests","android","35-44","2021-11","3669","385477"
"3","Ride Requests","android","35-44","2021-12","4291","385477"
"3","Ride Requests","android","35-44","2022-01","3309","385477"
"3","Ride Requests","android","35-44","2022-02","1336","385477"
"3","Ride Requests","android","35-44","2022-03","289","385477"
"3","Ride Requests","android","35-44","2022-04","1","385477"
"3","Ride Requests","android","45-54","2021-01","99","385477"
"3","Ride Requests","android","45-54","2021-02","382","385477"
